Park Name,Address,City,Lat,Lon,Quadrant,Type Of Park,Acres,TurfAcres,Parking Lots,# of Parking Spaces,# of Handicap Spaces,# of Drinking Fountains,Restroom,RR Season,Picnic Area,Reservable,Picnic Shelter,Playground,# of Tennis Courts,# of Lighted Tennis Courts,# of Basketball Courts,# of Volleyball Courts,# of Softball Fields,# of Lighted Softball Fields,# of Little League Fields,# of Lighted LL Fields,# of Soccer Fields,Soccer Field Type,Trails,Trail Surface,Horseshoes,Swimming Pool,Pool Type,Water Body,Parcourse,Water Play Feature,Rentable Shelters,Other Ammenities
Aimone Park,55 Queen Way,Sparks,39.560695,-119.743714,,Neighborhood,3.6,,Yes,,,,0,,Yes,,,Yes,2,2,0,0,1,,0,0,,,Yes,,0,0,,,0,,,"canopy, tables,"
Alf Sorensen Community Center,1400 Baring Blvd,Sparks,39.5590433,-119.7184638,,Special Use,2.2,,Yes,,,,Yes,,0,,,Yes,,,0,0,,,0,0,,,0,,,Yes,,,,,,"gym, meeting rooms, fitness center, tot pool, kitchen,"
Ambrose Park,"River Lane at Rainshadow Lane, Reno",,39.5094355,-119.8749622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anderson ES,1055 Berrum Lane,Reno,39.494597,-119.809644,SW,School,1.18,0.74,0,0,0,0,0,,0,0,0,0,0,0,4,0,0,0,0,0,1,Youth Practice,0,,0,0,,,0,0,,
Anderson Park,"Del Monte Lane near Davis Lane, Reno",,39.463714,-119.795437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antelope Ridge Park,"1900 Primio Way, (Future Park)",Sparks,39.548568,-119.697363,,Neighborhood,3,,Yes,,,,0,,Yes,,,Yes,0,0,0,0,0,0,0,0,,,Yes,,0,0,,,0,,,"canopy, shade,"
Ardmore Park,1200 12th Street,Sparks,39.5450272,-119.757254,,Special Use,3.7,,Yes,,,,Yes,,Yes,,,Yes,,,1,0,,,0,0,,,Yes,,Yes,,,,,,,"meeting rooms, fitness center, canopy, benches, dance, aerobics, teen center,"
ArrowCreek Park,"2950 Arrowcreek Parkway, Reno",,39.404818,-119.80148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bailey Creek Park,"14770 Granite Mine Court, Reno",,39.389953,-119.72613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandstand Park,1519 Victorian Avenue,Sparks,39.53504,-119.762352,,Pocket,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"gazebo, transit center"
Barbara Bennett Park,400 Island Ave,Reno,39.523537,-119.817221,SW,Neighborhood,2.84,1.5,Yes,39,2,1,Yes,Yearly,0,0,0,Yes,4,2,2,0,0,0,0,0,0,,0,,0,0,,river,0,0,Yes,
Bartley Ranch Regional Park,6000 Bartley Ranch Road,,39.466004,-119.80412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beck ES,1900 Sharon Dr,Reno,39.504513,-119.826149,SW,School,1.25,1.25,0,0,0,0,0,,0,0,0,0,0,0,3,0,0,0,0,0,1,Youth Practice,0,,0,0,,,0,0,,
Bicentennial Park,10 Ralston St,Reno,39.52427,-119.818987,NW,Neighborhood,1.79,0.6,Yes,20,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Paved,0,0,,,0,0,,
Billinghurst MS,6685 Chesterfield Lane,Reno,39.52236,-119.893756,NW,School,3.49,2.76,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,1,Youth Games,0,,0,0,,,0,0,,
Bitterbrush Park,3650 Lepus Drive,Sparks,39.617531,-119.676985,,Neighborhood,2.6,,Yes,,,,0,,0,,,Yes,0,0,0.5,0,0,0,0,0,,,Yes,,0,0,,,0,,,
Bodega Park,1200 Bodega Drive,Sparks,39.58871,-119.723349,,Neighborhood,2.4,,Yes,,,,0,,Yes,,,Yes,0,0,0.5,0,0,0,0,0,,,Yes,,0,0,,,0,,,"grills, canopy, benches,"
Bowers Mansion Regional Park,4005 US Highway 395 North,,39.293658,-119.840294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brodhead Park,5 South Park St,Reno,39.528995,-119.804337,SE,Neighborhood,2.01,0.81,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Paved,0,0,,,0,0,,
Burgess Park,1605 Pyramid Way,Sparks,39.5479393,-119.7539388,,Neighborhood,6.1,,Yes,,,,Yes,,Yes,,,Yes,3,3,0,0,1,,0,0,,,0,,0,0,,,0,,,"canopy, benches,"
"Callahan Park, Phillip & Anne","15960 Callahan Ranch Rd, Reno",,39.362022,-119.819648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cannan ES,2450 Cannan St,Reno,39.550138,-119.78474,NE,School,1.68,1.42,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,1,Youth Practice,0,,0,0,,,0,0,,
Canyon Creek Park,1485 Robb Dr,Reno,39.525222,-119.882506,NW,Neighborhood,4.1,1.49,Yes,28,2,1,Yes,Yearly,Yes,0,Yes,Yes,0,0,0.5,1,0,0,0,0,0,,Yes,Paved,Yes,0,,,Yes,0,Yes,
Canyon Hills Park,4480 Los Altos Parkway,Sparks,39.573344,-119.694517,,Neighborhood,3,,Yes,,,,0,,Yes,,,Yes,0,0,0.5,0,0,0,0,0,,,Yes,,0,0,,,0,,,"skate park, canopy, benches,"
Center Creek Park,1595 Wilbur May Pkwy,Reno,39.429553,-119.741995,SE,Neighborhood,5.64,3.72,Yes,16,2,1,0,,0,0,Yes,Yes,0,0,1,0,0,0,0,0,0,,Yes,Paved,0,0,,,0,0,,
Church Park - Sparks Senior Center,1850 1st Street,Sparks,39.550284,-119.744633,,Special Use,3.3,,Yes,,,,Yes,,0,,,0,,,0,0,,,0,0,,,0,,,,,,,,,
Cold Springs Park,"3355 White Lake Pkwy, Reno",,39.676532,-119.977055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comstock Park,1650 Carat Dr,Reno,39.435415,-119.741557,SE,Neighborhood,5.37,2.89,Yes,19,1,1,Yes,Seasonal,0,0,Yes,Yes,0,0,0.5,0,0,0,1,0,0,,Yes,Paved,0,0,,stream,0,0,,
Corbett ES,1901 Villanova Dr,Reno,39.510018,-119.784397,SE,School,1,0.67,0,0,0,0,0,,0,0,0,0,0,0,3,0,0,0,0,0,0,,0,,0,0,,,0,0,,
Cottonwood Park,777 Spice Island Drive,Sparks,39.513271,-119.729801,,Riverfront,6,,Yes,,,,Yes,,Yes,,,,,,,1,,,0,0,,,Yes,,Yes,,,,,,,"waterfront, grills"
Coyote Springs Park,Vista Del Rancho Parkway,Sparks,39.597604,-119.719566,,Neighborhood,0.6,,Yes,,,,0,,0,,,Yes,0,0,0,0,0,0,0,0,,,Yes,,0,0,,,0,,,"benches,"
Crissie Caughlin Park,3415 Idlewild Dr,Reno,39.511426,-119.855836,SW,Neighborhood,5,3.19,Yes,26,2,1,Yes,Yearly,0,0,Yes,Yes,0,0,0,0,0,0,0,0,0,,Yes,Paved,Yes,0,,,0,0,,
Crystal Lake Park,1190 Country Estates Cir,Reno,39.456302,-119.789238,SW,Neighborhood,5,1.73,Yes,22,2,2,Yes,Seasonal,0,0,Yes,Yes,2,0,1,1,0,0,0,0,0,,Yes,Paved,Yes,0,,,Yes,0,,
Crystal Peak Park,"Old Highway 40, Verdi",,39.515665,-119.996454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damonte Ranch Park,1950 Steamboat Parkway,Reno,39.425443,-119.727499,SE,Neighborhood,8.03,4.5,Yes,19,2,1,Yes,Yearly,0,0,Yes,Yes,0,0,1,0,0,0,0,0,0,,0,,0,0,,,0,0,,
Davis Creek Regional Park and Campground,"25 Davis Creek Road, Washoe Valley",,39.31467,-119.83089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deer Park,1700 Prater Way,Sparks,39.53874,-119.766201,,Special Use,3.3,,Yes,,,,Yes,,Yes,,,Yes,,,1,0,,,0,0,,,Yes,,,Yes,,,,,,"grills, canopy, benches, stage, historic cottonwood trees,"
Del Cobre Park,7990 Via Del Cobre Avenue,Sparks,39.632606,-119.686099,,Neighborhood,5.1,,Yes,,,,0,,Yes,,,Yes,0,0,0.5,0,0,0,0,0,,,Yes,,0,0,,,0,,,"canopy,"
Depoali Middle School,9300 Wilbur May Pkwy,Reno,39.450371,-119.734992,SE,Neighborhood,1.34,1.34,Yes,53,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,Youth Games,0,,0,0,,,0,0,,
Desert Winds Park,"105 Ember Drive, Spanish Springs",,39.641484,-119.719851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dick Taylor Park,1140 Beach St,Reno,39.541019,-119.810792,NE,Neighborhood,14.65,8.23,Yes,158,6,2,Yes,Yearly,Yes,0,Yes,Yes,2,0,4,0,2,0,0,0,0,,Yes,Paved,0,0,,,0,0,Yes,
Dodson ES,4355 Houston Dr,Reno,39.489882,-119.750931,SE,School,2.26,2.26,0,0,0,0,0,,0,0,0,0,0,0,2.5,0,2,0,0,0,2,Youth Practice,0,,0,0,,,0,0,,
"Donnelly Park, Betsy Caughlin","3295 Mayberry Drive, Reno",,39.506522,-119.858009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donner Party Park,4385 Loreto Lane,Reno,39.476189,-119.75428,SE,Pocket,1.27,1.2,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,,
Dorostkar Park,Mayberry Drive and the Truckee River,,39.505819,-119.886445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorothy McAlinden,12000 Mt Charleston,Reno,39.646752,-119.878137,NV,Neighborhood,25,3.5,Yes,37,2,0,Yes,Seasonal,0,0,Yes,Yes,0,0,0,1,0,0,0,0,0,,Yes,Comb,Yes,0,,,0,0,,
Double Diamond Park,9100 Wilbur May Pkwy,Reno,39.450362,-119.735523,SE,Community,10,3.5,Yes,116,2,1,Yes,Seasonal,0,0,0,0,0,0,0,0,2,0,0,0,0,,0,,0,0,,,0,0,,
Downtown Plaza,10 North Virginia,Reno,39.525697,-119.812241,NE,Pocket,1.1,0.25,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,,
Duncan ES,1200 Montello St,Reno,39.540932,-119.794352,NE,School,0.5,0.4,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2,0,1,Youth Practice,0,,0,0,,,0,0,,
Eagle Canyon Park,"400 Eagle Canyon Dr., Spanish Springs",,39.644672,-119.721562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Hills Greenbelt,,Sparks,39.501879,-119.769924,,Greenbelt,3.3,,,,,,,,,,,,,,,,,,0,0,,,0,,,,,,,,,
Echo Loder ES,600 Apple St,Reno,39.503384,-119.792623,SE,School,3.03,2.8,0,0,0,0,0,,0,0,0,0,0,0,2,0,1,0,0,0,2,Youth Games,0,,0,0,,,0,0,,
Eighth Street,455 East 8th St,Reno,39.535886,-119.808385,NE,Pocket,0.71,0.7,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Paved,0,0,,,0,0,,
Elizabeth Lenz School Park,"2500 Homeland Drive, Reno",,39.4281315,-119.7751971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellen's Park - South Hills Park,"12450 Creek Crest Drive, Reno",,39.4226868,-119.7689253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evans Park,200 East 9th St,Reno,39.536535,-119.81309,NE,Neighborhood,2.07,1.37,Yes,28,1,0,Yes,Seasonal,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Paved,Yes,0,,,0,0,Yes,
Evergreen Park,9555A Evergreen St,Reno,39.440103,-119.748632,SE,Neighborhood,1.77,0.88,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Paved,0,0,,,0,0,,
Fisherman's Park,55 Galetti Way,,39.531528,-119.782648,,Riverfront,5.4,,0,,,,Yes,,Yes,,,0,0,0,0,0,0,0,0,0,0,,Yes,,,,,,,,,"waterfront,"
Fisherman's Park #1,495 Galetti Way,Reno,39.531058,-119.789243,NE,Neighborhood,5.57,0.59,Yes,22,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Paved,0,0,,river,0,0,,
Fisherman's Park #2,5 Kietzke Lane,Reno,39.531201,-119.786751,NE,Neighborhood,4.03,0.92,Yes,9,2,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Paved,0,0,,river,0,0,,
Forest Park,"Forest Park Drive, Cold Springs",,39.686371,-119.964968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulton Corner,"1st & Arlington, SE Corner",Reno,39.524868,-119.816533,NW,Pocket,0.12,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Paved,0,0,,river,0,0,,
Galena Creek Regional Park,18350 Mt Rose Highway,,39.35358,-119.855725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gandolfo Rodeo Arena - Horsemen's Park,2200 Loop Road,Sparks,39.536366,-119.698351,,Special Use,40.6,,Yes,,,,Yes,,Yes,,,0,,,0,0,,,0,0,,,,,,,,,,,,"canopy, rodeo arena, holding pens,"
Gateway Park,2101 Greg Street,Sparks,39.521978,-119.770742,,Riverfront,4.1,,0,,,,,,Yes,,,,,,,,,,0,0,,,Yes,,Yes,,,,Yes,,,"waterfront,"
Gator Swamp Park,"255 Egyptian Dr., Spanish Springs",,39.654248,-119.712987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gepford Park,"305 E. Gepford Blvd., Sun Valley",,39.585738,-119.774424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glendale Park,399 Coney Island,Sparks,39.517396,-119.75085,,Riverfront,10.3,,Yes,,,,Yes,,Yes,,,,,,,,,,0,0,,,Yes,,Yes,,,,Yes,,,"waterfront, grills"
Golden Eagle Regional Park,6400 Vista Blvd.,Sparks,39.600616,-119.669486,,Regional,447.8,,Yes,,,,Yes,,Yes,,,Yes,,,,4,6,,2,,,,Yes,,,,,,,,,"multi-use fields, bocce ball, concessions, benches, pro shop and restaurant, overlook,"
Golden Valley Park,"7490 Hillview Dr., Reno",,39.617475,-119.829906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Governor's Bowl,1498 East 7th St,Reno,39.535633,-119.793535,NE,Neighborhood,7.43,2.6,Yes,90,3,1,Yes,Seasonal,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,,
Harrah's/DiLoreto Pathway,"Truckee River Path, Wells to Sutro",Reno,39.529454,-119.80054,SE,Trail,0.98,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Paved,0,0,,,0,0,,
Hidden Valley Regional Park,4740 Parkway Drive,,39.487878,-119.71411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Highland Ranch Park,"1200 Highland Ranch Pkwy., Sun Valley",,39.605616,-119.752077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hilltop Park,3950 Buckingham Pl,Reno,39.54311,-119.862853,NW,Neighborhood,5.24,2.7,Yes,40,3,2,Yes,Seasonal,0,0,Yes,Yes,0,0,0,0,2,2,0,0,0,,Yes,Paved,0,0,,,0,0,,
Holcomb Historic Site,1005 Holcomb St,Reno,39.516851,-119.807057,SE,Pocket,0.7,0.54,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,,
Horizon View Park,9675 Wilbur May Pkwy,Reno,39.443214,-119.737362,SE,Neighborhood,5,1.48,Yes,8,1,1,0,,0,0,Yes,Yes,0,0,0,0,0,0,0,0,0,,0,,0,0,,,Yes,0,,
Horseman's Park,2800 Pioneer Dr,Reno,39.48356,-119.832082,SW,Neighborhood,12.35,0.86,Yes,45,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Comb,0,0,,,0,0,,
Huffaker Mountain Trail,1160 East Huffaker Dr,Reno,39.455782,-119.767675,SE,Trail,76.44,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Dirt,0,0,,,0,0,Yes,
Huffaker Park,1160 East Huffaker Dr,Reno,39.457302,-119.767857,SE,Neighborhood,9.22,3.4,0,0,0,1,Yes,Seasonal,0,0,Yes,Yes,2,0,1,0,1,0,0,0,1,Youth Practice,Yes,Paved,Yes,0,,,Yes,0,,
Idlewild Park,2055 Idlewild Dr,Reno,39.521537,-119.832958,SW,Community,49,20.72,Yes,400,10,3,Yes,Yearly,Yes,Yes,Yes,Yes,0,0,0,3,3,3,0,0,0,,Yes,Paved,0,Yes,Outdoor,both,Yes,Yes,Yes,
Irving Circle,85 Irving Park Circle,Reno,39.534051,-119.833057,NW,Pocket,0.81,0.81,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,,
Ivan Sack Park & Diloreto Path,3005 Idlewild Dr,Reno,39.515123,-119.847067,SW,Pocket,2.82,0.91,0,0,0,2,0,,0,0,Yes,0,0,0,0,0,0,0,0,0,0,,Yes,Paved,0,0,,river,0,0,,
Jacinto Park,7805 Jacinto Avenue,Sparks,39.625295,-119.683467,,Neighborhood,3.4,,Yes,,,,0,,Yes,,,Yes,0,0,0,0,0,0,0,0,,,Yes,,0,0,,,0,,,"canopy, benches,"
Jack Tighe Ballfields,325 Burris Lane,Reno,39.489125,-119.799304,SW,Neighborhood,8.12,3.77,Yes,136,0,1,Yes,Seasonal,0,0,0,0,0,0,0,0,0,0,4,3,0,,0,,0,0,,,0,0,,
Jamaica Park,1000 Jamaica Ave,Reno,39.477501,-119.779328,SE,Neighborhood,7.8,4.38,Yes,92,4,1,Yes,Seasonal,0,0,Yes,Yes,0,0,0,0,1,0,0,0,1,Youth Practice,Yes,Paved,Yes,0,,,0,0,,
John Champion Park,957 Kuenzli St,Reno,39.529655,-119.793367,SE,Neighborhood,1.53,0.24,Yes,7,2,1,0,,0,0,Yes,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,river,0,0,,
Kestrel Park,5611 Cathedral Peak Drive,Sparks,39.594158,-119.734464,,Neighborhood,2.7,,Yes,,,,0,,Yes,,,Yes,0,0,0.5,0,0,0,0,0,,,Yes,,0,0,,,0,,,"canopy, benches,"
Kuenzli River Belt Pathway,"Truckee River Path, Sutro to Champion",Reno,39.530031,-119.793781,SE,Pathway,1.63,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,Yes,Paved,0,0,,,0,0,,
Lake Park,40 Coleman Dr,Reno,39.538751,-119.835936,NW,Neighborhood,4.17,2.61,0,0,0,0,0,,0,0,0,Yes,0,0,0,0,0,0,0,0,0,,Yes,Paved,0,0,,pond/lake,0,0,,
Las Brisas Park,5350 Las Brisas Blvd,Reno,39.542578,-119.869307,NW,Neighborhood,10.32,2,Yes,13,2,1,Yes,Yearly,0,0,Yes,Yes,0,0,0.5,0,0,0,0,0,0,,Yes,Paved,0,0,,,0,Yes,Yes,
Lazy 5 Regional Park,7100 Pyramid Lake Highway,,39.620694,-119.721172,,Regional,84.9,,,,,,,,Yes,,,,,,,,,,0,0,,,,,,,,,,,,"library, meeting space, skate park, multi-use field, waterfront"
Lemmon Valley Park,"325 Patrician Drive, Reno",,39.645562,-119.84111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Les Hicks Jr. Park,3650 Oakridge Drive,Sparks,39.565644,-119.726113,,Neighborhood,1.8,,Yes,,,,0,,Yes,,,Yes,0,0,0.5,1,0,0,0,0,,,Yes,,Yes,0,,,0,,,"canopy, benches,"
Lillard Park - Victorian Square Amphitheater,,Sparks,39.534431,-119.755011,,Special Use,0.6,,Yes,,,,Yes,,Yes,,,,,,,,,,,,,,Yes,,,,,,,,,"benches, entire square is 30 acres, climbing wall"
Liston Park,1635 Yori Ave,Reno,39.50901,-119.793627,SE,Pocket,1.03,0.89,0,0,0,0,0,,0,0,0,Yes,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,,
Lockwood Park,10505 Lockwood Drive,,39.509375,-119.651756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lois Allen Elementary School Park,"5155 McGuffy, Sun Valley",,39.580624,-119.786449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Longford Park,250 E. Greenbrae,Sparks,39.547995,-119.738253,,Neighborhood,4.3,,Yes,,,,0,,Yes,,,Yes,2,2,0.5,0,0,0,0,0,,,Yes,,0,0,,,0,,,"canopy,"
Lunsford Triangle,Riverside & Washington,Reno,39.52239,-119.821375,NW,Pocket,0.25,0.24,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0,0,,,0,0,,
Maldonado Park,2150 Canyon Parkway,Sparks,39.5814168,-119.7097065,,Neighborhood,25.5,,Yes,,,,0,,Yes,,,Yes,0,0,0,0,0,0,0,0,,,Yes,,Yes,0,,,0,,,"canopy, benches,"
Manzanita Park,630 Manzanita Lane,Reno,39.483375,-119.801955,SW,Neighborhood,11.64,7.12,Yes,16,2,1,Yes,Seasonal,0,0,Yes,Yes,2,0,1,1,1,0,0,0,1,Youth Practice,Yes,Paved,Yes,0,,stream,Yes,0,Yes,
